"BGS,  DFID,  DPHE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Studies of Arsenic Contamination in Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWDB Water Quality Monitoring Network Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 25 May 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,,As,Al,B_,Ba,Be,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Gd,HCO3,Ho,I,K,La,Li,Lu,Mg,Mn,Mo,Na,Nd,NH4-N,Ni,NO2-N,NO3-N,P,Pb,Pr,Rb,Sb,Si,Sm,Sn,SO4,Sr,Tb,Tl,Tm,U,V,Y,Yb,Zn
,,,,,,m,,,,,,,,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
S98_01855,BAGIER-53,15/07/98,22.6630,89.7630,,38,Khulna,Bagerhat,Bagerhat Sadar,Bagierhat,Bagierhat,40108,S98_01855,8.1,14,0.09,0.145,< 0.05,128,< 0.02,0.019,134,0.33,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.08,0.086,< 0.01,281,< 0.005,0.0073,2.8,0.012,2.4,< 0.005,25.4,0.102,0.8,52.2,0.01,0.1,3.9,0.011,< 0.2,< 0.2,0.34,< 0.005,2.3,< 0.02,9.01,< 0.01,0.8,20.4,0.358,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.013,< 0.008,5
S98_01856,NAR-53,18/07/98,23.9260,90.7180,HTW,,Dhaka,Narsingdi,Narsingdi Sadar,Narshingdi,Norshindi Dak Hangloo,36860,S98_01856,70.6,23,0.03,0.238,< 0.05,57.1,< 0.02,0.018,64.2,0.3,< 0.5,< 0.05,< 1,0.01,< 0.01,< 0.006,0.62,5.16,< 0.01,290,< 0.005,0.0031,3.1,0.016,0.7,< 0.005,33.8,0.17,1.2,17.9,< 0.01,0.95,2.3,0.004,< 0.2,0.3,0.35,< 0.005,1.4,0.03,16.2,0.02,0.5,< 0.2,0.347,< 0.005,< 0.01,< 0.005,0.03,< 0.2,0.013,< 0.008,11
S98_01857,KHALIS-54,18/07/98,22.5480,89.5380,DTW,274,Khulna,Khulna,Khulna Sadar,Khalishpur,Khalishpur,44751,S98_01857,0.7,5,0.24,0.128,< 0.05,45.2,< 0.02,0.008,206,0.17,0.5,< 0.05,1,< 0.01,< 0.01,< 0.006,0.16,0.022,< 0.01,501,< 0.005,0.017,3.9,< 0.005,7.2,< 0.005,23.4,0.028,0.5,218,< 0.01,< 0.02,1.3,< 0.004,0.5,< 0.2,2,< 0.005,3.2,< 0.02,11.5,< 0.01,0.5,< 0.2,0.364,< 0.005,< 0.01,< 0.005,< 0.01,< 0.2,0.009,< 0.008,4
S98_01858,DA-54,16/07/98,23.7340,90.4180,DTW,137,Dhaka,Dhaka,Motijheel,Motijheel,Pwd Colony,32654,S98_01858,7.5,10,< 0.01,0.026,< 0.05,26.2,0.03,0.016,30,0.17,< 0.5,< 0.05,5,< 0.01,< 0.01,< 0.006,0.22,0.071,< 0.01,120,< 0.005,0.0096,1.4,0.009,9.8,< 0.005,10.1,0.041,< 0.1,21.1,0.01,0.15,2.4,< 0.004,2.3,< 0.2,0.88,< 0.005,0.8,0.03,32.2,< 0.01,1.2,4.3,0.17,< 0.005,0.01,< 0.005,0.06,0.7,0.015,< 0.008,28
S98_01859,RJB-69,22/07/98,23.7650,89.4760,HTW,22,Dhaka,Rajbari,Pangsha,,Kalukhau,38273,S98_01859,29,11,0.01,0.127,< 0.05,79.2,< 0.02,0.02,6,0.23,< 0.5,< 0.05,1,< 0.01,< 0.01,< 0.006,0.16,2.26,< 0.01,398,< 0.005,0.0059,2.8,0.019,1.3,< 0.005,15,0.333,0.8,9.9,0.01,< 0.02,2.2,< 0.004,2.5,0.5,0.42,< 0.005,0.8,0.02,10.9,< 0.01,1,< 0.2,0.233,< 0.005,< 0.01,< 0.005,0.03,< 0.2,0.008,< 0.008,33
S98_01860,RJB-70,22/07/98,23.7540,89.6450,DTW,127,Dhaka,Rajbari,Rajbari Sadar,,Municipality,38276,S98_01860,61.8,9,0.03,0.146,< 0.05,97.7,< 0.02,0.019,10.6,0.43,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.14,4.43,< 0.01,481,< 0.005,0.018,5.6,0.012,8.4,< 0.005,36.1,0.722,1.1,24.3,< 0.01,< 0.02,3.1,< 0.004,0.7,0.5,0.41,< 0.005,3.5,0.04,19.1,< 0.01,1,0.7,0.434,< 0.005,0.01,< 0.005,0.39,< 0.2,0.011,< 0.008,40
S98_01861,FAR-71,23/07/98,23.5990,89.8350,DTW,84,Dhaka,Faridpur,Faridpur Sadar,,Municipal,32947,S98_01861,215,8,0.04,0.172,< 0.05,106,< 0.02,0.018,14,0.42,< 0.5,0.13,1,< 0.01,< 0.01,< 0.006,0.15,5.67,< 0.01,552,< 0.005,0.017,4.5,0.014,6.8,< 0.005,37.2,0.204,1.9,29.5,< 0.01,< 0.02,3,< 0.004,2.4,0.8,0.32,< 0.005,5.6,0.04,17.4,< 0.01,0.9,< 0.2,0.432,< 0.005,< 0.01,< 0.005,0.03,< 0.2,0.012,< 0.008,7
S98_01862,GOP-72,23/07/98,23.2100,89.6930,HTW,20,Dhaka,Gopalganj,Kashiani,,Bhatiapara,33543,S98_01862,200,8,0.04,0.294,< 0.05,150,< 0.02,0.021,27.3,0.72,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.02,10.6,< 0.01,567,< 0.005,0.014,4.7,0.013,3.6,< 0.005,45.1,0.305,0.9,26.9,0.01,< 0.02,4.1,< 0.004,1.4,0.7,0.39,< 0.005,3.2,0.04,16.8,< 0.01,0.8,< 0.2,0.739,< 0.005,< 0.01,< 0.005,< 0.01,< 0.2,0.02,< 0.008,12
S98_01863,GOP-73,23/07/98,23.0050,89.8230,HTW,20,Dhaka,Gopalganj,Gopalganj Sadar,Municipality,Gopalganj,33532,S98_01863,144,8,0.06,0.223,< 0.05,108,< 0.02,0.015,28.4,0.42,< 0.5,< 0.05,2,< 0.01,< 0.01,0.012,0.24,6.92,< 0.01,527,< 0.005,0.0056,4.1,0.017,4,< 0.005,23.4,0.127,1.4,45,< 0.01,< 0.02,2.9,< 0.004,2.2,0.5,0.43,< 0.005,3.4,0.04,11.7,< 0.01,1,< 0.2,0.39,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.011,< 0.008,
S98_01864,MAD-74,23/07/98,23.1670,90.1950,DTW,238,Dhaka,Madaripur,Madaripur Sadar,Municipality,Madaripur,35454,S98_01864,3.1,16,0.25,0.241,< 0.05,80.4,< 0.02,0.03,411,0.23,< 0.5,< 0.05,4,< 0.01,< 0.01,< 0.006,0.28,1.17,0.01,354,< 0.005,0.18,4.4,0.019,13.5,< 0.005,34,0.04,0.3,231,0.01,< 0.02,2.6,< 0.004,< 0.2,0.3,0.7,< 0.005,5,0.05,17.9,0.01,0.5,< 0.2,0.453,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.015,< 0.008,22
S98_01865,BAR-75,25/07/98,22.7000,90.3690,DTW,610,Barisal,Barisal,Barisal Sadar,,Barisal,10651,S98_01865,3.4,15,0.22,0.019,< 0.05,7.59,< 0.02,0.017,58.2,0.06,< 0.5,< 0.05,4,< 0.01,< 0.01,< 0.006,0.14,0.156,< 0.01,373,< 0.005,0.051,2.2,0.013,3.8,< 0.005,3.93,0.033,0.3,152,0.02,< 0.02,< 0.4,< 0.004,< 0.2,0.3,0.69,< 0.005,2,0.03,9.57,< 0.01,2.2,0.2,0.108,< 0.005,0.03,< 0.005,< 0.01,< 0.2,0.011,< 0.008,16
S98_01866,PAT-77,25/07/98,22.3550,90.3450,DTW,274,Barisal,Patuakhali,Patuakhali Sadar,Municipality,Patuakhali,17895,S98_01866,10,28,0.35,0.025,< 0.05,6.11,< 0.02,0.096,297,0.21,< 0.5,< 0.05,3,< 0.01,< 0.01,< 0.006,0.16,0.112,< 0.01,524,< 0.005,0.24,2.4,0.096,4,< 0.005,3.52,0.015,0.6,189,0.05,< 0.02,< 0.4,< 0.004,1.6,0.8,0.79,0.018,1.7,0.03,9.13,0.01,3.1,0.4,0.0905,< 0.005,0.02,< 0.005,< 0.01,0.5,0.03,< 0.008,53
S98_01867,DA-101,21/07/98,23.5100,90.2170,HTW,26,Dhaka,Munshiganj,Munshiganj Sadar,Bhaishakul,Bhaishakul T Inst,35956,S98_01867,401,12,0.16,0.271,< 0.05,65,0.03,0.028,93.8,1.07,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.31,4.43,< 0.01,579,< 0.005,0.75,5.3,0.019,7.1,< 0.005,31.3,0.151,3.6,133,0.01,< 0.02,4.1,< 0.004,3.8,1.1,0.54,< 0.005,3.8,0.15,12.6,< 0.01,0.9,0.3,0.439,< 0.005,< 0.01,< 0.005,0.08,0.3,0.02,< 0.008,
S98_01868,DA-102,16/07/98,23.7690,90.3640,DTW,53,Dhaka,Dhaka,Mohammadpur (D),Mohammedpur,Mohammedpur,32650,S98_01868,7.5,6,< 0.01,0.022,< 0.05,29,< 0.02,0.014,15.9,0.14,1.6,< 0.05,9,< 0.01,< 0.01,< 0.006,0.19,0.096,< 0.01,170,< 0.005,0.0089,2,0.008,5.9,< 0.005,10.8,0.027,< 0.1,22.6,< 0.01,< 0.02,5,< 0.004,0.8,< 0.2,0.53,< 0.005,1.2,0.05,30.4,< 0.01,1.4,4.9,0.222,< 0.005,< 0.01,< 0.005,0.14,1.8,0.024,0.008,14
S98_04510,GOHI-44,29/07/98,22.1467,91.8231,Piez,265,Chittagong,Chittagong,Anowara,Gohira,UC Office,21504,S98_04510,1.2,21,0.19,0.078,< 0.05,46.8,0.03,0.055,812,0.53,0.6,< 0.05,2,< 0.01,< 0.01,0.016,0.09,33.6,< 0.01,34,< 0.005,0.0122,8.6,0.029,68.3,< 0.005,50.7,2.45,< 0.1,497,0.03,0.25,2.7,0.006,< 0.2,0.3,1.81,0.007,5.1,0.07,24.6,0.02,< 0.1,261,0.564,< 0.005,0.05,< 0.005,< 0.01,< 0.2,0.034,< 0.008,
S98_04511,RUST-45,29/07/98,22.1924,91.8562,HTW,146,Chittagong,Chittagong,Anowara,Battali,Battali,21504,S98_04511,4.2,15,0.02,0.039,< 0.05,19.3,< 0.02,0.092,7.5,0.97,0.5,< 0.05,5,< 0.01,< 0.01,< 0.006,0.15,0.211,< 0.01,181,< 0.005,0.0032,2.6,0.027,4.1,< 0.005,11.2,0.147,0.2,26.9,0.02,< 0.02,1.7,< 0.003,< 0.2,< 0.2,0.65,< 0.005,3.8,0.06,13.2,< 0.01,2.5,0.8,0.194,< 0.005,0.07,< 0.005,0.01,0.2,0.037,< 0.008,
S98_04512,GOHI-46,29/07/98,22.1467,91.8231,Piez,68,Chittagong,Chittagong,Anowara,Gohira,UC Office,21504,S98_04512,0.7,15,0.03,0.072,< 0.05,25.8,< 0.02,0.027,143,0.25,0.6,< 0.05,2,< 0.01,< 0.01,0.012,0.12,12.4,< 0.01,117,< 0.005,0.0097,3.5,0.018,20,< 0.005,22,1.14,< 0.1,52.9,0.03,0.02,1.4,< 0.003,0.4,0.4,0.41,< 0.005,2.8,0.05,28.1,< 0.01,0.3,0.4,0.297,< 0.005,0.02,< 0.005,< 0.01,< 0.2,0.025,< 0.008,47
S98_04513,COM-84,28/07/98,23.4453,91.1722,HTW,32,Chittagong,Comilla,Comilla Sadar,Shaktala,Shaktala,21967,S98_04513,3.7,12,0.04,0.064,< 0.05,22.3,< 0.02,0.021,2.4,1.13,< 0.5,< 0.05,17,< 0.01,< 0.01,0.014,0.35,1.66,< 0.01,135,< 0.005,0.0052,1.9,0.017,2.7,< 0.005,9.75,0.403,0.5,22.5,< 0.01,0.03,1.9,< 0.003,< 0.2,< 0.2,0.31,0.005,1.3,0.05,20.6,< 0.01,1.1,0.7,0.298,< 0.005,0.13,< 0.005,0.05,0.4,0.014,< 0.008,74
S98_04514,DAUD-85,28/07/98,23.5360,90.7104,HTW,32,Chittagong,Comilla,Daudkandi,Daudkandi,Daudkandi Bazar,21936,S98_04514,444,14,0.07,0.129,< 0.05,84.6,< 0.02,0.02,77,0.77,< 0.5,< 0.05,2,< 0.01,< 0.01,0.018,0.19,10.1,< 0.01,387,< 0.005,0.123,7.4,0.016,2.9,< 0.005,31,0.268,2.3,42.3,< 0.01,< 0.02,3.8,0.012,7.1,1.2,0.32,< 0.005,5.3,0.04,16.2,0.02,0.4,< 0.2,0.492,< 0.005,0.08,< 0.005,< 0.01,0.2,0.022,< 0.008,30
S98_04515,LAKS-86,28/07/98,23.2499,91.1150,HTW,23,Chittagong,Comilla,Laksam,Nabaratpur,Nabaratpur,21972,S98_04515,107,12,0.04,0.03,< 0.05,33.6,< 0.02,0.022,81,0.18,0.7,< 0.05,1,< 0.01,< 0.01,< 0.006,0.21,2.78,< 0.01,319,< 0.005,0.0099,16,0.011,2.3,< 0.005,56.6,0.413,0.7,27.5,0.01,0.09,1.6,< 0.003,1.5,0.8,0.38,< 0.005,5.9,0.02,14,< 0.01,0.6,4.4,0.333,< 0.005,0.05,< 0.005,< 0.01,< 0.2,0.014,< 0.008,18
S98_04516,HAJ-87,31/07/98,23.2484,90.8696,DTW,107,Chittagong,Chandpur,Hajiganj,Aligonj,Aligonj H complex,21349,S98_04516,2.5,24,0.03,0.099,< 0.05,41.8,0.03,0.045,150,0.31,0.6,< 0.05,19,< 0.01,< 0.01,0.01,0.23,4.02,< 0.01,115,< 0.005,0.098,3.4,0.034,7.3,< 0.005,19.6,0.335,< 0.1,55.8,0.02,0.2,3.1,< 0.003,< 0.2,< 0.2,2.2,0.006,5.5,0.11,28.3,< 0.01,0.2,< 0.2,0.303,< 0.005,0.01,< 0.005,0.02,< 0.2,0.032,< 0.008,52
S98_04517,CHAN-88,31/07/98,23.2342,90.6673,HTW,168,Chittagong,Chandpur,Chandpur Sadar,Shologhar,Shologhar,21322,S98_04517,234,16,< 0.01,0.112,< 0.05,57.3,0.03,0.043,33.4,0.32,0.5,0.05,4,< 0.01,< 0.01,0.023,0.24,7.06,< 0.01,286,< 0.005,0.0186,3.7,0.028,2,< 0.005,18.1,0.252,2.4,15.4,0.01,4.1,2.2,< 0.003,0.7,1.7,2.19,< 0.005,4,0.06,18.7,< 0.01,0.9,< 0.2,0.26,< 0.005,0.01,< 0.005,< 0.01,< 0.2,0.032,< 0.008,
S98_04518,NOA-89,28/07/98,22.8334,91.0955,HTW,11,Chittagong,Noakhali,Noakhali Sadar,Sonapur,Sonapur,27587,S98_04518,100,12,0.32,0.032,< 0.05,33.4,< 0.02,0.028,196,0.35,< 0.5,< 0.05,1,< 0.01,< 0.01,0.008,0.25,0.665,< 0.01,678,< 0.005,0.131,13.4,0.017,4.2,< 0.005,45.2,0.374,5.6,244,0.02,< 0.02,1.7,< 0.003,1.2,1,1.2,0.006,3.1,0.06,16,< 0.01,0.2,4.3,0.32,< 0.005,0.07,< 0.005,0.19,0.3,0.021,< 0.008,12
S98_04519,FENI-90,28/07/98,23.0053,91.3866,HTW,13,Chittagong,Feni,Feni Sadar,Pachgadria,Feni Rest House,23029,S98_04519,111,18,0.02,0.019,< 0.05,26,< 0.02,0.034,21.7,0.17,0.5,< 0.05,2,< 0.01,0.01,< 0.006,0.32,0.49,< 0.01,361,< 0.005,0.0292,12.4,0.023,3.7,< 0.005,46,0.674,1.7,28.2,0.02,< 0.02,1.1,< 0.003,1.3,0.6,0.46,< 0.005,5.6,0.05,15.4,< 0.01,0.7,10.6,0.241,< 0.005,0.03,< 0.005,0.27,< 0.2,0.028,< 0.008,13
S98_04520,MIR-91,28/07/98,22.7761,91.5656,HTW,25,Chittagong,Chittagong,Mirsharai,PS,Miraswarai,21553,S98_04520,275,39,0.2,0.02,< 0.05,20,< 0.02,0.063,35.1,0.25,1.1,< 0.05,3,< 0.01,< 0.01,< 0.006,0.38,1.32,0.02,384,< 0.005,0.13,16,0.036,2.9,< 0.005,37,0.247,4,60.4,0.02,< 0.02,1.5,2.62,2.6,1.7,8.17,0.008,6.8,0.12,11,< 0.01,0.7,0.8,0.266,< 0.005,0.03,< 0.005,0.02,0.4,0.026,< 0.008,13
S98_04521,CTG-92,29/07/98,22.4735,91.7891,DTW,110,Chittagong,Chittagong,Hathazari,Hathajani,University,21537,S98_04521,4.4,12,< 0.01,0.042,0.12,2.93,< 0.02,0.034,2.8,0.31,3.9,< 0.05,8,< 0.01,< 0.01,0.008,0.04,0.033,< 0.01,34,< 0.005,0.0013,3,0.025,4.2,< 0.005,1.73,0.029,< 0.1,4.8,0.02,< 0.02,5.5,0.006,0.6,< 0.2,3.07,0.005,9.7,0.04,12,< 0.01,1.3,1.3,0.0352,< 0.005,0.03,< 0.005,< 0.01,< 0.2,0.029,< 0.008,24
S98_04522,CTG-93,29/07/98,22.3704,91.8442,DTW,146,Chittagong,Chittagong,Chandgaon,Chandgown,Chandgown,21519,S98_04522,3.4,24,< 0.01,0.055,< 0.05,6.28,< 0.02,0.067,7,1.7,0.7,< 0.05,3,0.01,0.01,0.015,0.21,0.202,0.01,121,< 0.005,0.0042,2.7,0.031,4.9,< 0.005,6.65,0.578,0.1,29,0.03,< 0.02,1.7,< 0.003,< 0.2,< 0.2,1.93,0.008,1.5,0.06,21.1,< 0.01,1.2,0.5,0.0764,< 0.005,0.02,< 0.005,0.02,0.5,0.092,0.012,24
S98_04523,ANWA-94,29/07/98,22.2234,91.8980,HTW,43,Chittagong,Chittagong,Anowara,Anwara,Thana Parishad Office,21504,S98_04523,2,11,1.28,0.033,< 0.05,26.7,< 0.02,0.03,334,0.5,< 0.5,0.07,1,< 0.01,< 0.01,< 0.006,0.05,0.365,< 0.01,451,< 0.005,0.198,65.2,0.016,7.4,< 0.005,75.5,0.236,< 0.1,253,0.02,0.03,1,0.003,< 0.2,6.4,0.39,< 0.005,13.4,0.07,27.7,< 0.01,0.1,0.7,0.453,< 0.005,0.07,< 0.005,0.01,0.4,0.014,< 0.008,12
S98_04524,SAT-95,29/07/98,22.0721,92.0479,HTW,31,Chittagong,Chittagong,Satkania,Satkania,Satkania,21582,S98_04524,4.6,15,0.53,0.023,< 0.05,3.74,< 0.02,0.031,217,0.21,0.8,< 0.05,2,< 0.01,< 0.01,< 0.006,0.65,0.527,< 0.01,442,< 0.005,0.0428,11.3,0.021,9.4,< 0.005,7.1,0.053,0.9,277,0.02,0.03,< 0.4,< 0.003,37.2,2.4,0.41,0.006,3.5,0.05,12.2,< 0.01,0.3,0.4,0.0547,< 0.005,< 0.01,< 0.005,< 0.01,0.7,0.017,< 0.008,18
S98_04525,COX-99,30/07/98,21.4349,91.9656,HTW,10,Chittagong,Cox's Bazar,Cox's Bazar Sadar,,BWDB rest house,22224,S98_04525,2,13,0.02,0.024,< 0.05,79.1,< 0.02,0.035,91,0.47,< 0.5,< 0.05,3,< 0.01,0.01,< 0.006,0.1,0.128,< 0.01,366,< 0.005,0.0057,26.5,0.017,16.1,< 0.005,57.6,1.96,1,55.2,< 0.01,0.04,2.7,< 0.003,31.3,< 0.2,0.64,< 0.005,11.7,0.17,7.9,< 0.01,0.3,47.6,0.566,< 0.005,0.03,< 0.005,1.16,1.5,0.041,< 0.008,12
S98_04526,UKHI-100,30/07/98,21.2432,92.1325,DTW,52,Chittagong,Cox's Bazar,Ukhia,Ukhia,Ukhia Bazar,22294,S98_04526,1.2,13,< 0.01,0.022,< 0.05,4.44,< 0.02,0.03,2.7,0.11,2.1,0.06,2,< 0.01,< 0.01,0.006,0.06,0.307,< 0.01,43,< 0.005,0.0016,5,0.029,4.8,< 0.005,4.13,0.037,< 0.1,10.7,0.04,0.02,1.8,< 0.003,0.4,< 0.2,0.44,0.01,8.2,0.03,13.9,< 0.01,1.1,3.7,0.047,< 0.005,0.02,< 0.005,0.03,< 0.2,0.035,< 0.008,11
S99_00796,SAN-43(CS),04/06/99,22.4815,91.4285,Piez,56.96,Chittagong,Chittagong,Sandwip,Rahamatpur,Rahamatpur,21578,S99_00796,0.9,,0.1,0.082,,37.7,,,187,,,,,,,,0.09,0.139,,352,,0.0038,6.1,,,,24.3,0.007,,136,,0.03,,< 0.003,3.1,0.2,,,,,16.9,,,1.2,0.334,,,,,,,,
S99_00797,SAN-42(CMD),04/06/99,22.4815,91.4285,Piez,160.92,Chittagong,Chittagong,Sandwip,Rahamatpur,Rahamatpur,21578,S99_00797,0.6,,0.1,0.087,,35.5,,,158,,,,,,,,0.12,0.065,,264,,0.0286,6.2,,,,24.1,0.008,,138,,0.05,,0.015,23,0.2,,,,,16.6,,,2.2,0.309,,,,,,,,
S99_00798,SAN-41(CD),04/06/99,22.4815,91.4285,Piez,261.94,Chittagong,Chittagong,Sandwip,Rahamatpur,Rahamatpur,21578,S99_00798,1.1,,0.1,0.154,,106,,,980,,,,,,,,0.05,0.047,,292,,0.127,9.7,,,,93.1,0.012,,410,,0.02,,0.037,8.5,0.3,,,,,15.4,,,59.4,1.09,,,,,,,,
S99_00799,MOH-98,28/05/99,21.5170,91.9584,Piez,7.32,Chittagong,Cox's Bazar,Maheshkhali,Gorukghata,Gorukghata,22249,S99_00799,8.7,,0.4,0.034,,29.1,,,770,,,,,,,,0.64,0.088,,424,,0.134,24,,,,45.6,0.039,,510,,0.03,,0.022,0.2,2.9,,,,,9.86,,,144,0.3,,,,,,,,
S99_00800,KUT-97,30/05/99,21.8128,91.8449,Piez,542.68,Chittagong,Cox's Bazar,Kutubdia,Baraghope,Baraghope,22245,S99_00800,1.1,,< 0.1,0.081,,22.8,,,1.9,,,,,,,,0.14,0.29,,179,,0.001,2.9,,,,3.13,0.124,,47,,0.01,,< 0.003,0.2,< 0.1,,,,,12,,,2.7,0.34,,,,,,,,
S99_00801,SAND-9,03/06/99,22.4817,91.4332,Piez,329.26,Chittagong,Chittagong,Sandwip,BWDB Guest house,BWDB Guest house,21578,S99_00801,1.1,,0.1,0.133,,125,,,940,,,,,,,,0.07,0.089,,332,,0.124,10.3,,,,104,0.019,,454,,0.03,,0.005,3.9,0.3,,,,,15.8,,,68.4,1.24
S99_00802,AKHA-82,24/05/99,23.8659,91.2010,HTW,18.3,Chittagong,Brahamanbaria,Akhaura,Railway station,Railway station,21202,S99_00802,11.3,,< 0.1,0.012,,17.7,,,10.1,,,,,,,,0.2,0.249,,113,,0.0177,2.5,,,,8.87,0.18,,22.6,,0.04,,< 0.003,0.2,0.2,,,,,33.9,,,4.4,0.114
S99_00803,MUR-83,24/05/99,23.7627,90.9899,HTW,26.22,Chittagong,Comilla,Muradnagar,Kasimpur,Kasimpur,21981,S99_00803,261,,0.2,0.017,,41.1,,,85,,,,,,,,0.23,0.134,,396,,0.14,11.3,,,,44.2,0.021,,60.5,,0.03,,0.013,11.3,1.3,,,,,26.2,,,1.5,0.332
S99_00804,CHU-81,25/05/99,24.1945,91.5138,HTW,30.5,Sylhet,Habiganj,Chunarughat,Chunarughat Bazar,Chunarughat Bazar,63626,S99_00804,3.4,,< 0.1,0.026,,9.5,,,7.5,,,,,,,,0.12,0.161,,60.4,,0.0152,2.5,,,,4.37,1.44,,8,,< 0.01,,0.005,1.2,< 0.1,,,,,16.9,,,< 0.2,0.0635
S99_00805,HABI-80,25/05/99,24.3776,91.4083,HTW,36.59,Sylhet,Habiganj,Habiganj Sadar,Rajanagar,Rajanagar,63644,S99_00805,5.2,,< 0.1,0.036,,16.7,,,8.2,,,,,,,,0.19,0.211,,202,,0.0064,2.6,,,,7.56,0.094,,34.4,,0.01,,< 0.003,0.9,0.2,,,,,27.4,,,0.7,0.115
S99_00806,MVI-79,25/05/99,24.4696,91.7603,HTW,30.5,Sylhet,Maulvibazar,Maulvi Bazar Sadar,Sultanpur,Sultanpur,65874,S99_00806,2.3,,< 0.1,0.033,,9.3,,,2.1,,,,,,,,0.24,0.197,,108,,0.092,2.2,,,,4.48,0.275,,14.4,,4.22,,< 0.003,< 0.02,< 0.1,,,,,15.9,,,< 0.2,0.0734
S99_00807,SYL-78,25/05/98,24.8795,91.8605,HTW,30.5,Sylhet,Sylhet,Sylhet Sadar,Railway station,Railway station,69162,S99_00807,11.2,,< 0.1,0.027,,3.5,,,2.2,,,,,,,,0.24,2.26,,172,,0.0212,1.6,,,,3.44,0.037,,63,,0.02,,< 0.003,3.7,0.4,,,,,10.7,,,0.5,0.0228
