"BGS,  DFID,  DPHE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Studies of Arsenic Contamination in Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWDB Water Quality Monitoring Network Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 25 May 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,,As,Al,B_,Ba,Be,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Gd,HCO3,Ho,I,K,La,Li,Lu,Mg,Mn,Mo,Na,Nd,NH4-N,Ni,NO2-N,NO3-N,P,Pb,Pr,Rb,Sb,Si,Sm,Sn,SO4,Sr,Tb,Tl,Tm,U,V,Y,Yb,Zn
,,,,,,m,,,,,,,,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
S98_01804,BAMAN,26/07/98,25.5320,89.4460,,18,Rajshahi,Gaibandha,Sundarganj,Bamandaga,Bamandaga,53291,S98_01804,< 0.5,6,< 0.01,0.058,< 0.05,36.2,0.07,0.013,97,0.36,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.19,0.084,< 0.01,145,< 0.005,< 0.0008,14.4,0.01,0.5,< 0.005,12.2,0.179,1.4,56.5,0.01,< 0.02,1.5,0.012,0.6,< 0.2,1.06,< 0.005,0.2,0.05,9.53,< 0.01,0.9,21.1,0.114,< 0.005,< 0.01,< 0.005,3.13,0.6,0.049,< 0.008,
S98_01805,BOA-19,27/07/98,25.3180,89.5500,HTW,18,Rajshahi,Gaibandha,Gaibandha Sadar,Boalia,Boalia,53224,S98_01805,< 0.5,3,< 0.01,0.044,< 0.05,28.9,< 0.02,0.005,26.5,0.13,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.33,0.054,< 0.01,182,< 0.005,< 0.0008,2,< 0.005,3.4,< 0.005,17.1,0.478,0.4,18.5,< 0.01,< 0.02,1.1,0.044,< 0.2,< 0.2,0.34,< 0.005,2.3,0.02,17.5,< 0.01,1.7,2.2,0.098,< 0.005,< 0.01,< 0.005,0.1,< 0.2,0.007,< 0.008,7
S98_01806,GABIN-20,27/07/98,25.1340,89.3870,,12,Rajshahi,Gaibandha,Gobindaganj,Gabindagons,Gabindagons,53230,S98_01806,< 0.5,4,0.03,0.05,< 0.05,25.9,0.05,< 0.005,36.8,0.21,< 0.5,< 0.05,2,< 0.01,< 0.01,0.01,0.34,0.016,0.01,140,< 0.005,0.0017,16.7,< 0.005,0.9,< 0.005,9.42,0.067,1.9,26.5,< 0.01,< 0.02,1.5,< 0.004,1.5,< 0.2,0.48,< 0.005,0.5,0.03,12.6,< 0.01,1.1,11.5,0.0787,< 0.005,< 0.01,< 0.005,0.68,1,0.024,0.016,7
S98_01807,MADR-21,22/07/98,25.1090,89.0360,HTW,15,Rajshahi,Jaipurhat,Jaipurhat Sadar,Madergonj,Madergonj,53847,S98_01807,< 0.5,2,< 0.01,0.023,< 0.05,21.8,0.16,0.005,8.5,0.33,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.3,0.976,< 0.01,146,< 0.005,0.0034,1.3,< 0.005,6.9,< 0.005,11.8,0.566,< 0.1,12.6,< 0.01,< 0.02,1.6,< 0.004,< 0.2,< 0.2,0.23,< 0.005,4.4,< 0.02,25.4,< 0.01,3.3,2.7,0.114,< 0.005,0.01,< 0.005,0.02,< 0.2,0.006,< 0.008,91
S98_01808,SANTA-22,22/07/98,24.8040,88.9690,HTW,18,Rajshahi,Bogra,Adamdighi,Santahar,Santahar,51006,S98_01808,< 0.5,3,0.02,0.038,< 0.05,62.6,0.11,0.01,97.2,1.2,< 0.5,< 0.05,1,< 0.01,< 0.01,< 0.006,0.3,0.04,< 0.01,251,< 0.005,0.0195,0.9,0.008,12.4,< 0.005,24.7,0.435,< 0.1,68.1,< 0.01,< 0.02,7.5,0.009,3.2,< 0.2,0.39,< 0.005,0.2,0.03,20.4,0.01,0.9,48.8,0.266,< 0.005,< 0.01,< 0.005,0.34,1.3,0.083,< 0.008,42
S98_01809,GIOKU-23,27/07/98,24.9330,89.3480,HTW,18,Rajshahi,Bogra,Bogra Sadar,Giokul,Giokul,51020,S98_01809,< 0.5,15,0.01,0.006,< 0.05,11,0.08,0.014,4.9,0.42,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.32,0.023,< 0.01,100,< 0.005,0.0028,0.7,< 0.005,1.4,< 0.005,6.48,1.53,< 0.1,15.2,< 0.01,< 0.02,1.1,< 0.004,< 0.2,< 0.2,0.58,< 0.005,< 0.1,< 0.02,20.1,< 0.01,1.3,3.2,0.0872,< 0.005,< 0.01,< 0.005,0.02,1.5,0.022,< 0.008,19
S98_01810,PATNI-29,22/07/98,25.0500,88.7500,HTW,15,Rajshahi,Naogaon,Patnitala,Patnitala,Patnitala,56475,S98_01810,0.5,3,< 0.01,0.002,< 0.05,6.42,< 0.02,< 0.005,2.8,0.09,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.43,0.08,< 0.01,65,< 0.005,0.0028,0.4,< 0.005,1,< 0.005,3.35,0.131,< 0.1,13.4,< 0.01,< 0.02,2.1,< 0.004,< 0.2,< 0.2,0.2,< 0.005,< 0.1,0.02,17.5,< 0.01,1.1,2.2,0.0289,< 0.005,< 0.01,< 0.005,0.01,1.5,0.008,< 0.008,14
S98_01811,MAND-25,22/07/98,24.7930,88.7010,HTW,30,Rajshahi,Naogaon,Manda,Manda,Manda,56447,S98_01811,0.5,4,< 0.01,0.008,< 0.05,10.7,0.05,0.006,3.4,0.38,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.21,0.354,< 0.01,97,< 0.005,0.0426,0.5,< 0.005,2.4,< 0.005,5.1,0.381,< 0.1,16.4,< 0.01,< 0.02,8,< 0.004,< 0.2,0.2,0.34,< 0.005,< 0.1,< 0.02,20.7,< 0.01,1.7,0.7,0.0723,< 0.005,< 0.01,< 0.005,0.03,1.1,0.017,< 0.008,50
S98_01812,PIR-25,27/07/98,22.3650,89.9330,,,Barisal,Pirojpur,Mathbaria,,Burirchar,17958,S98_01812,5.6,,1.95,1.03,< 0.05,35,< 0.02,0.049,7140,0.21,1.2,0.15,3,0.02,0.03,< 0.006,< 0.01,0.078,0.02,165,< 0.005,5.84,33.2,0.034,24.8,< 0.005,1.83,0.006,0.6,4970,0.02,7.2,1.5,0.007,< 0.2,5.3,1.5,0.008,19.4,0.23,0.19,0.02,0.5,0.6,4.01,< 0.005,0.3,0.006,0.02,0.6,0.066,0.011,
S98_01813,RAHAN-26,21/07/98,24.8000,88.2000,HTW,30,Rajshahi,Nawabganj,Gomastapur,Rahandur,Rahandur,57037,S98_01813,1,3,0.04,0.04,< 0.05,56.4,< 0.02,< 0.005,3.9,0.29,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.35,1.24,< 0.01,347,< 0.005,0.0878,0.9,< 0.005,6.9,< 0.005,13.7,0.072,0.2,44.2,< 0.01,< 0.02,2.1,< 0.004,< 0.2,0.2,0.27,< 0.005,0.3,< 0.02,19.2,< 0.01,2.4,6.2,0.243,< 0.005,< 0.01,< 0.005,1.11,< 0.2,0.008,< 0.008,78
